time	V(1+)	V(2+)	V(vost1)	V(x1:bus01)	V(x1:bus03)	-Ix(x1:x5:DRAIN)	Ix(x1:x1:OUT2)	Ix(x1:x1:OUT4)	Ix(x1:x2:DRAIN)	Ix(x1:x3:DRAIN)
0.000000000000000e+00	-3.532471e-09	4.511643e-01	1.585346e+00	1.965576e+00	5.299419e-04	3.740733e-04	6.241686e-07	3.745287e-04	4.182278e-07	-1.525540e-07
7.029190518710593e-09	2.895481e-05	4.511629e-01	1.585335e+00	1.963620e+00	3.728413e-04	3.741338e-04	4.963729e-07	3.743622e-04	4.254799e-07	-5.086532e-08
2.108757155613178e-08	9.707855e-05	4.511603e-01	1.585342e+00	1.961052e+00	2.936408e-04	3.741363e-04	4.315561e-07	3.742625e-04	4.301138e-07	-4.388418e-12
3.649635911225687e-08	1.755434e-04	4.511573e-01	1.585351e+00	1.959848e+00	2.934294e-04	3.741136e-04	4.312312e-07	3.742592e-04	4.308523e-07	-1.172828e-11
5.556086749166321e-08	2.698697e-04	4.511536e-01	1.585354e+00	1.959509e+00	2.933566e-04	3.741065e-04	4.311325e-07	3.742604e-04	4.310470e-07	-1.449238e-11
7.626045316739100e-06	3.812055e-02	4.496701e-01	1.585422e+00	1.961082e+00	2.830714e-04	3.739766e-04	4.160257e-07	3.741124e-04	4.162727e-07	-3.137453e-10
1.519652976598654e-05	7.597121e-02	4.482305e-01	1.585489e+00	1.962614e+00	2.734679e-04	3.738502e-04	4.019201e-07	3.739685e-04	4.022695e-07	-3.907622e-10
2.276701421523397e-05	1.138219e-01	4.468347e-01	1.585554e+00	1.964106e+00	2.645461e-04	3.737271e-04	3.888155e-07	3.738285e-04	3.890377e-07	-2.455431e-10
3.033749866448141e-05	1.516725e-01	4.454827e-01	1.585617e+00	1.965556e+00	2.563061e-04	3.736075e-04	3.767121e-07	3.736926e-04	3.765770e-07	1.219121e-10
3.790798311372885e-05	1.895231e-01	4.441745e-01	1.585678e+00	1.966965e+00	2.487477e-04	3.734913e-04	3.656099e-07	3.735607e-04	3.648877e-07	7.116033e-10
4.547846756297628e-05	2.273737e-01	4.429102e-01	1.585737e+00	1.968334e+00	2.418711e-04	3.733785e-04	3.555088e-07	3.734328e-04	3.539695e-07	1.523531e-09
5.304895201222370e-05	2.652242e-01	4.416897e-01	1.585795e+00	1.969661e+00	2.356762e-04	3.732692e-04	3.464088e-07	3.733089e-04	3.438226e-07	2.557694e-09
5.939660826222366e-05	2.969609e-01	4.406975e-01	1.585840e+00	1.970734e+00	2.326828e-04	3.731835e-04	3.420115e-07	3.732079e-04	3.356764e-07	6.306474e-09
