;Scopy version	f4beeb1
;Exported on	Wednesday February 21/02/2024
;Device	M2K
;Nr of samples	3200
;Sample rate	1e+08
;Tool	Oscilloscope
;Additional Information	
Sample	Time(S)	CH1(V)	CH2(V)
0	-6.04e-06	1.25786	1.26338
1	-6.03e-06	1.25648	1.25786
2	-6.02e-06	1.25786	1.262
3	-6.01e-06	1.25648	1.26338
4	-6e-06	1.25648	1.25924
5	-5.99e-06	1.26062	1.262
6	-5.98e-06	1.25786	1.25786
7	-5.97e-06	1.25648	1.25924
8	-5.96e-06	1.25648	1.25924
9	-5.95e-06	1.25648	1.262
10	-5.94e-06	1.25648	1.25924
11	-5.93e-06	1.25924	1.25924
12	-5.92e-06	1.25786	1.25786
13	-5.91e-06	1.2551	1.26338
14	-5.9e-06	1.25786	1.262
15	-5.89e-06	1.25648	1.25786
16	-5.88e-06	1.25924	1.262
17	-5.87e-06	1.25786	1.26338
18	-5.86e-06	1.2551	1.262
19	-5.85e-06	1.25786	1.262
20	-5.84e-06	1.25786	1.25786
21	-5.83e-06	1.25924	1.262
22	-5.82e-06	1.25924	1.25924
23	-5.81e-06	1.25648	1.25648
24	-5.8e-06	1.25372	1.25786
25	-5.79e-06	1.25786	1.25924
26	-5.78e-06	1.25786	1.25786
27	-5.77e-06	1.25924	1.262
28	-5.76e-06	1.26062	1.25924
29	-5.75e-06	1.25924	1.25924
30	-5.74e-06	1.25924	1.26338
31	-5.73e-06	1.25648	1.25648
32	-5.72e-06	1.2551	1.262
33	-5.71e-06	1.25924	1.26338
34	-5.7e-06	1.2551	1.25924
35	-5.69e-06	1.25786	1.262
36	-5.68e-06	1.2551	1.25924
37	-5.67e-06	1.2551	1.262
38	-5.66e-06	1.262	1.26338
39	-5.65e-06	1.25786	1.25924
40	-5.64e-06	1.26062	1.25648
41	-5.63e-06	1.25924	1.262
42	-5.62e-06	1.25648	1.25924
43	-5.61e-06	1.25648	1.25786
44	-5.6e-06	1.2551	1.25786
45	-5.59e-06	1.25924	1.262
46	-5.58e-06	1.25924	1.25924
47	-5.57e-06	1.25786	1.25648
48	-5.56e-06	1.2551	1.25924
49	-5.55e-06	1.25924	1.26338
50	-5.54e-06	1.25648	1.25924
51	-5.53e-06	1.25648	1.262
52	-5.52e-06	1.25786	1.25786
53	-5.51e-06	1.25924	1.25924
54	-5.5e-06	1.25786	1.262
55	-5.49e-06	1.25786	1.25924
56	-5.48e-06	1.25786	1.25786
57	-5.47e-06	1.25924	1.26338
58	-5.46e-06	1.25648	1.25924
59	-5.45e-06	1.25924	1.262
60	-5.44e-06	1.25786	1.25924
61	-5.43e-06	1.25786	1.25924
62	-5.42e-06	1.25648	1.25924
63	-5.41e-06	1.2551	1.25924
64	-5.4e-06	1.25786	1.25786
65	-5.39e-06	1.26062	1.26476
66	-5.38e-06	1.25786	1.25924
67	-5.37e-06	1.25648	1.25924
68	-5.36e-06	1.25648	1.25924
69	-5.35e-06	1.25648	1.25924
70	-5.34e-06	1.25924	1.25924
71	-5.33e-06	1.25924	1.25648
72	-5.32e-06	1.25786	1.25786
73	-5.31e-06	1.25786	1.26338
74	-5.3e-06	1.26062	1.25648
75	-5.29e-06	1.25786	1.25648
76	-5.28e-06	1.25096	1.25924
77	-5.27e-06	1.25648	1.262
78	-5.26e-06	1.25924	1.25648
79	-5.25e-06	1.25786	1.262
80	-5.24e-06	1.25372	1.25786
81	-5.23e-06	1.25648	1.25924
82	-5.22e-06	1.25786	1.25924
83	-5.21e-06	1.25648	1.262
84	-5.2e-06	1.25648	1.25924
85	-5.19e-06	1.25786	1.262
86	-5.18e-06	1.25648	1.25648
87	-5.17e-06	1.25786	1.25924
88	-5.16e-06	1.25786	1.25648
89	-5.15e-06	1.25648	1.25924
90	-5.14e-06	1.25648	1.262
91	-5.13e-06	1.2551	1.25924
92	-5.12e-06	1.2551	1.25648
93	-5.11e-06	1.25372	1.25786
94	-5.1e-06	1.25648	1.25786
95	-5.09e-06	1.25786	1.25648
96	-5.08e-06	1.25648	1.25786
97	-5.07e-06	1.2551	1.25924
98	-5.06e-06	1.25786	1.25786
99	-5.05e-06	1.2551	1.25924
100	-5.04e-06	1.25786	1.25786
101	-5.03e-06	1.25648	1.26338
102	-5.02e-06	1.25648	1.25924
103	-5.01e-06	1.25786	1.25786
104	-5e-06	1.25786	1.25786
105	-4.99e-06	1.26062	1.262
106	-4.98e-06	1.25924	1.25924
107	-4.97e-06	1.25786	1.25924
108	-4.96e-06	1.2551	1.25786
109	-4.95e-06	1.26062	1.262
110	-4.94e-06	1.25924	1.25786
111	-4.93e-06	1.25648	1.25648
112	-4.92e-06	1.25786	1.262
113	-4.91e-06	1.25648	1.25924
114	-4.9e-06	1.25786	1.25924
115	-4.89e-06	1.25786	1.26338
116	-4.88e-06	1.25648	1.25786
117	-4.87e-06	1.25924	1.262
118	-4.86e-06	1.25924	1.25924
119	-4.85e-06	1.25786	1.25786
120	-4.84e-06	1.25648	1.262
121	-4.83e-06	1.25648	1.262
122	-4.82e-06	1.25096	1.25786
123	-4.81e-06	1.2551	1.25786
124	-4.8e-06	1.25648	1.2551
125	-4.79e-06	1.25786	1.25786
126	-4.78e-06	1.25648	1.25924
127	-4.77e-06	1.25648	1.25648
128	-4.76e-06	1.25648	1.25924
129	-4.75e-06	1.25648	1.25924
130	-4.74e-06	1.25786	1.25924
131	-4.73e-06	1.25648	1.25924
132	-4.72e-06	1.2551	1.25924
133	-4.71e-06	1.25648	1.25924
134	-4.7e-06	1.25648	1.25786
135	-4.69e-06	1.25786	1.2551
136	-4.68e-06	1.26062	1.25786
137	-4.67e-06	1.25786	1.25924
138	-4.66e-06	1.25786	1.25786
139	-4.65e-06	1.25924	1.25648
140	-4.64e-06	1.25786	1.25786
141	-4.63e-06	1.262	1.262
142	-4.62e-06	1.25786	1.2551
143	-4.61e-06	1.2551	1.25924
144	-4.6e-06	1.25786	1.25924
145	-4.59e-06	1.25648	1.25924
146	-4.58e-06	1.25786	1.25924
147	-4.57e-06	1.2551	1.25924
148	-4.56e-06	1.25372	1.25786
149	-4.55e-06	1.25786	1.26476
150	-4.54e-06	1.25924	1.25924
151	-4.53e-06	1.262	1.262
152	-4.52e-06	1.25924	1.25924
153	-4.51e-06	1.25648	1.25924
154	-4.5e-06	1.25924	1.25924
155	-4.49e-06	1.262	1.25924
156	-4.48e-06	1.25096	1.25924
157	-4.47e-06	1.25648	1.262
158	-4.46e-06	1.25924	1.25924
159	-4.45e-06	1.25786	1.262
160	-4.44e-06	1.25924	1.25786
161	-4.43e-06	1.25648	1.25786
162	-4.42e-06	1.25648	1.262
163	-4.41e-06	1.25924	1.25924
164	-4.4e-06	1.25786	1.25648
165	-4.39e-06	1.25786	1.26338
166	-4.38e-06	1.2551	1.25786
167	-4.37e-06	1.25786	1.25648
168	-4.36e-06	1.25786	1.262
169	-4.35e-06	1.25786	1.25924
170	-4.34e-06	1.25786	1.25786
171	-4.33e-06	1.262	1.26338
172	-4.32e-06	1.25648	1.25648
173	-4.31e-06	1.2551	1.262
174	-4.3e-06	1.25372	1.25924
175	-4.29e-06	1.25648	1.25924
176	-4.28e-06	1.2551	1.26476
177	-4.27e-06	1.2551	1.26476
178	-4.26e-06	1.25648	1.25648
179	-4.25e-06	1.25924	1.26338
180	-4.24e-06	1.25648	1.262
181	-4.23e-06	1.25786	1.262
182	-4.22e-06	1.25924	1.25924
183	-4.21e-06	1.25648	1.25786
184	-4.2e-06	1.25648	1.25786
185	-4.19e-06	1.26062	1.25924
186	-4.18e-06	1.25786	1.25924
187	-4.17e-06	1.25786	1.26338
188	-4.16e-06	1.25786	1.25924
189	-4.15e-06	1.25924	1.262
190	-4.14e-06	1.25786	1.262
191	-4.13e-06	1.25372	1.25924
192	-4.12e-06	1.25786	1.262
193	-4.11e-06	1.26062	1.25924
194	-4.1e-06	1.25648	1.25924
195	-4.09e-06	1.2551	1.262
196	-4.08e-06	1.25786	1.25786
197	-4.07e-06	1.25924	1.262
198	-4.06e-06	1.25924	1.262
199	-4.05e-06	1.26338	1.25924
200	-4.04e-06	1.25786	1.262
201	-4.03e-06	1.25648	1.26338
202	-4.02e-06	1.25648	1.25786
203	-4.01e-06	1.26062	1.25786
204	-4e-06	1.25786	1.25924
205	-3.99e-06	1.25786	1.25924
206	-3.98e-06	1.262	1.262
207	-3.97e-06	1.26062	1.25648
208	-3.96e-06	1.25648	1.25924
209	-3.95e-06	1.25648	1.262
210	-3.94e-06	1.25648	1.25648
211	-3.93e-06	1.25786	1.25786
212	-3.92e-06	1.25648	1.25786
213	-3.91e-06	1.25648	1.262
214	-3.9e-06	1.25786	1.25786
215	-3.89e-06	1.25648	1.25786
216	-3.88e-06	1.25372	1.25924
217	-3.87e-06	1.25648	1.262
218	-3.86e-06	1.26062	1.25924
219	-3.85e-06	1.26062	1.25924
220	-3.84e-06	1.25924	1.25924
221	-3.83e-06	1.25786	1.25786
222	-3.82e-06	1.25786	1.25924
223	-3.81e-06	1.25786	1.25786
224	-3.8e-06	1.25372	1.25648
225	-3.79e-06	1.25786	1.26338
226	-3.78e-06	1.25648	1.25786
227	-3.77e-06	1.25786	1.262
228	-3.76e-06	1.25924	1.25786
