;Scopy version	f4beeb1
;Exported on	Wednesday February 21/02/2024
;Device	M2K
;Nr of samples	3200
;Sample rate	1e+08
;Tool	Oscilloscope
;Additional Information	
Sample	Time(S)	CH1(V)	CH2(V)
0	-7.81e-06	1.2603	1.2603
1	-7.8e-06	1.25754	1.26306
2	-7.79e-06	1.25892	1.25892
3	-7.78e-06	1.26168	1.26168
4	-7.77e-06	1.25892	1.26306
5	-7.76e-06	1.2603	1.26306
6	-7.75e-06	1.25892	1.2603
7	-7.74e-06	1.25892	1.26306
8	-7.73e-06	1.26168	1.26168
9	-7.72e-06	1.26306	1.26444
10	-7.71e-06	1.26168	1.26168
11	-7.7e-06	1.2603	1.26168
12	-7.69e-06	1.25892	1.2603
13	-7.68e-06	1.26306	1.26168
14	-7.67e-06	1.26168	1.2603
15	-7.66e-06	1.2603	1.26306
16	-7.65e-06	1.25892	1.26306
17	-7.64e-06	1.25754	1.26306
18	-7.63e-06	1.2603	1.26444
19	-7.62e-06	1.25754	1.26168
20	-7.61e-06	1.26306	1.26168
21	-7.6e-06	1.2603	1.26168
22	-7.59e-06	1.26168	1.2603
23	-7.58e-06	1.2603	1.26306
24	-7.57e-06	1.26168	1.26168
25	-7.56e-06	1.25892	1.2603
26	-7.55e-06	1.25754	1.26168
27	-7.54e-06	1.2603	1.2603
28	-7.53e-06	1.26168	1.25892
29	-7.52e-06	1.25754	1.26444
30	-7.51e-06	1.2603	1.26168
31	-7.5e-06	1.2603	1.25892
32	-7.49e-06	1.25754	1.2603
33	-7.48e-06	1.25892	1.2603
34	-7.47e-06	1.26168	1.26168
35	-7.46e-06	1.26168	1.2603
36	-7.45e-06	1.25754	1.26306
37	-7.44e-06	1.25616	1.26306
38	-7.43e-06	1.25892	1.26444
39	-7.42e-06	1.26168	1.26306
40	-7.41e-06	1.25754	1.26168
41	-7.4e-06	1.25616	1.26306
42	-7.39e-06	1.26168	1.26306
43	-7.38e-06	1.26306	1.26168
44	-7.37e-06	1.25892	1.26168
45	-7.36e-06	1.26168	1.26168
46	-7.35e-06	1.26444	1.2603
47	-7.34e-06	1.26444	1.2603
48	-7.33e-06	1.26168	1.26168
49	-7.32e-06	1.26168	1.26306
50	-7.31e-06	1.25892	1.25892
51	-7.3e-06	1.2603	1.26168
52	-7.29e-06	1.2603	1.2603
53	-7.28e-06	1.26168	1.26168
54	-7.27e-06	1.26168	1.2603
55	-7.26e-06	1.2603	1.26168
56	-7.25e-06	1.26168	1.2603
57	-7.24e-06	1.2603	1.26306
58	-7.23e-06	1.2603	1.26168
59	-7.22e-06	1.2603	1.26306
60	-7.21e-06	1.2603	1.2603
61	-7.2e-06	1.25892	1.26306
62	-7.19e-06	1.25892	1.25892
63	-7.18e-06	1.2603	1.2603
64	-7.17e-06	1.26168	1.26168
65	-7.16e-06	1.26168	1.2603
66	-7.15e-06	1.2603	1.26306
67	-7.14e-06	1.26306	1.26168
68	-7.13e-06	1.26168	1.2603
69	-7.12e-06	1.2603	1.26168
70	-7.11e-06	1.2603	1.25892
71	-7.1e-06	1.25892	1.25892
72	-7.09e-06	1.25892	1.26168
73	-7.08e-06	1.26306	1.26168
74	-7.07e-06	1.25754	1.26168
75	-7.06e-06	1.2603	1.2603
76	-7.05e-06	1.26168	1.25892
77	-7.04e-06	1.26306	1.2603
78	-7.03e-06	1.26168	1.2603
79	-7.02e-06	1.26168	1.25754
80	-7.01e-06	1.2603	1.25892
81	-7e-06	1.26168	1.26444
82	-6.99e-06	1.26168	1.25892
83	-6.98e-06	1.26306	1.26168
84	-6.97e-06	1.26306	1.25892
85	-6.96e-06	1.25892	1.25892
86	-6.95e-06	1.26168	1.2603
87	-6.94e-06	1.26444	1.2603
88	-6.93e-06	1.26306	1.26168
89	-6.92e-06	1.25892	1.26168
90	-6.91e-06	1.26168	1.26168
91	-6.9e-06	1.25892	1.26168
92	-6.89e-06	1.2603	1.26168
93	-6.88e-06	1.26168	1.2603
94	-6.87e-06	1.2603	1.2603
95	-6.86e-06	1.26168	1.2603
96	-6.85e-06	1.2603	1.25754
97	-6.84e-06	1.26444	1.26168
98	-6.83e-06	1.26168	1.2603
99	-6.82e-06	1.26168	1.2603
100	-6.81e-06	1.25892	1.26306
101	-6.8e-06	1.2603	1.26168
102	-6.79e-06	1.2603	1.2603
103	-6.78e-06	1.26168	1.26168
104	-6.77e-06	1.26168	1.26168
105	-6.76e-06	1.26444	1.26306
106	-6.75e-06	1.2603	1.26168
107	-6.74e-06	1.2603	1.2603
108	-6.73e-06	1.26306	1.2603
109	-6.72e-06	1.2603	1.26168
110	-6.71e-06	1.2603	1.2603
111	-6.7e-06	1.2603	1.26168
112	-6.69e-06	1.26168	1.2603
113	-6.68e-06	1.26168	1.26306
