Sample	Time(S)	CH1(V)	CH2(V)
0	-0.0016	1.4176	1.65488
1	-0.001599	1.41305	1.65488
2	-0.001598	1.40697	1.65488
3	-0.001597	1.40394	1.65488
4	-0.001596	1.39787	1.6564
5	-0.001595	1.39179	1.6564
6	-0.001594	1.38876	1.6564
7	-0.001593	1.3842	1.6564
8	-0.001592	1.37813	1.6564
9	-0.001591	1.37054	1.65488
10	-0.00159	1.37054	1.65791
11	-0.001589	1.36295	1.65791
12	-0.001588	1.35688	1.65488
13	-0.001587	1.35384	1.6564
14	-0.001586	1.35081	1.65791
15	-0.001585	1.34322	1.65791
16	-0.001584	1.33714	1.65488
17	-0.001583	1.33411	1.6564
18	-0.001582	1.32804	1.6564
19	-0.001581	1.32045	1.6564
20	-0.00158	1.31893	1.6564
21	-0.001579	1.31286	1.65488
22	-0.001578	1.30678	1.6564
23	-0.001577	1.30071	1.6564
24	-0.001576	1.29767	1.6564
25	-0.001575	1.2916	1.65791
26	-0.001574	1.28705	1.65791
27	-0.001573	1.27946	1.65791
28	-0.001572	1.27794	1.65791
29	-0.001571	1.27035	1.65791
30	-0.00157	1.2658	1.6564
31	-0.001569	1.2658	1.65943
32	-0.001568	1.25821	1.65943
33	-0.001567	1.25062	1.6564
34	-0.001566	1.2491	1.65791
35	-0.001565	1.24303	1.65943
36	-0.001564	1.23847	1.65943
37	-0.001563	1.23088	1.65791
38	-0.001562	1.22936	1.66095
39	-0.001561	1.22329	1.65943
40	-0.00156	1.21874	1.66095
41	-0.001559	1.21266	1.66095
42	-0.001558	1.20811	1.66095
43	-0.001557	1.20204	1.66095
44	-0.001556	1.19597	1.65943
45	-0.001555	1.19597	1.66247
46	-0.001554	1.18838	1.66247
47	-0.001553	1.18079	1.66247
48	-0.001552	1.17775	1.66095
49	-0.001551	1.17471	1.66399
50	-0.00155	1.16864	1.66399
51	-0.001549	1.16105	1.66399
52	-0.001548	1.15953	1.66399
53	-0.001547	1.15194	1.66702
54	-0.001546	1.14891	1.66702
55	-0.001545	1.14587	1.66702
56	-0.001544	1.13828	1.66702
57	-0.001543	1.13221	1.66854
58	-0.001542	1.12765	1.66854
59	-0.001541	1.12614	1.66854
60	-0.00154	1.11703	1.67006
61	-0.001539	1.11247	1.66854
62	-0.001538	1.10792	1.67158
63	-0.001537	1.10488	1.67158
64	-0.001536	1.09881	1.67158
65	-0.001535	1.09122	1.6731
66	-0.001534	1.08818	1.6731
67	-0.001533	1.08363	1.67461
68	-0.001532	1.07756	1.67461
69	-0.001531	1.07452	1.67613
70	-0.00153	1.06997	1.67765
71	-0.001529	1.0639	1.67613
72	-0.001528	1.05782	1.67917
73	-0.001527	1.05479	1.67917
74	-0.001526	1.05023	1.68069
75	-0.001525	1.04264	1.68069
76	-0.001524	1.03961	1.68372
77	-0.001523	1.03505	1.68372
78	-0.001522	1.0305	1.68372
79	-0.001521	1.02291	1.68979
80	-0.00152	1.02139	1.68676
81	-0.001519	1.01532	1.69131
82	-0.001518	1.00925	1.69131
83	-0.001517	1.00621	1.69283
84	-0.001516	0.99862	1.69435
85	-0.001515	0.992548	1.69435
86	-0.001514	0.989512	1.69587
87	-0.001513	0.986476	1.69738
88	-0.001512	0.977368	1.6989
89	-0.001511	0.972813	1.6989
90	-0.00151	0.969777	1.70194
91	-0.001509	0.963705	1.70194
92	-0.001508	0.959151	1.70497
93	-0.001507	0.956115	1.70649
94	-0.001506	0.950043	1.70801
95	-0.001505	0.943971	1.70801
96	-0.001504	0.939416	1.71105
97	-0.001503	0.93638	1.7156
98	-0.001502	0.92879	1.71408
99	-0.001501	0.922718	1.71712
100	-0.0015	0.916646	1.71864
101	-0.001499	0.915128	1.72167
102	-0.001498	0.912092	1.72167
103	-0.001497	0.902983	1.72319
104	-0.001496	0.901465	1.72471
105	-0.001495	0.895393	1.72623
106	-0.001494	0.889321	1.72775
107	-0.001493	0.884767	1.73382
108	-0.001492	0.881731	1.73382
109	-0.001491	0.875659	1.73534
110	-0.00149	0.868068	1.73685
111	-0.001489	0.865032	1.73837
112	-0.001488	0.85896	1.73989
113	-0.001487	0.85137	1.74141
114	-0.001486	0.85137	1.74444
115	-0.001485	0.846816	1.74748
116	-0.001484	0.840744	1.74748
117	-0.001483	0.833153	1.749
118	-0.001482	0.830117	1.75507
119	-0.001481	0.822527	1.75507
120	-0.00148	0.819491	1.75659
121	-0.001479	0.813419	1.75962
122	-0.001478	0.810383	1.76266
123	-0.001477	0.804311	1.76418
124	-0.001476	0.798238	1.7657
125	-0.001475	0.79672	1.76873
126	-0.001474	0.78913	1.76873
