Sample	Time(S)	CH1(V)	CH2(V)
0	-0.0016	1.42064	1.67158
1	-0.001599	1.41001	1.67158
2	-0.001598	1.40697	1.67006
3	-0.001597	1.40242	1.67158
4	-0.001596	1.39938	1.67158
5	-0.001595	1.39028	1.67158
6	-0.001594	1.38876	1.66854
7	-0.001593	1.38269	1.67006
8	-0.001592	1.37813	1.67006
9	-0.001591	1.37054	1.67006
10	-0.00159	1.3675	1.67006
11	-0.001589	1.36143	1.66854
12	-0.001588	1.35536	1.67158
13	-0.001587	1.35384	1.67006
14	-0.001586	1.34777	1.67158
15	-0.001585	1.34018	1.67006
16	-0.001584	1.33714	1.67006
17	-0.001583	1.33259	1.67006
18	-0.001582	1.325	1.67006
19	-0.001581	1.32196	1.67006
20	-0.00158	1.31893	1.67006
21	-0.001579	1.31286	1.67006
22	-0.001578	1.30678	1.67158
23	-0.001577	1.29919	1.67158
24	-0.001576	1.29919	1.66854
25	-0.001575	1.2916	1.67006
26	-0.001574	1.28553	1.67006
27	-0.001573	1.28249	1.67158
28	-0.001572	1.27794	1.66854
29	-0.001571	1.27035	1.67158
30	-0.00157	1.2658	1.67158
31	-0.001569	1.26428	1.67158
32	-0.001568	1.25821	1.67158
33	-0.001567	1.25062	1.67158
34	-0.001566	1.24758	1.67158
35	-0.001565	1.24303	1.67158
36	-0.001564	1.23999	1.67158
37	-0.001563	1.23088	1.67158
38	-0.001562	1.22784	1.67158
39	-0.001561	1.22329	1.67006
40	-0.00156	1.21722	1.6731
41	-0.001559	1.2157	1.67006
42	-0.001558	1.20811	1.6731
43	-0.001557	1.20204	1.6731
44	-0.001556	1.19597	1.6731
45	-0.001555	1.19293	1.67006
46	-0.001554	1.18838	1.6731
47	-0.001553	1.1823	1.6731
48	-0.001552	1.17623	1.67158
49	-0.001551	1.1732	1.67158
50	-0.00155	1.16712	1.6731
51	-0.001549	1.16105	1.6731
52	-0.001548	1.15801	1.6731
53	-0.001547	1.15194	1.6731
54	-0.001546	1.14587	1.6731
55	-0.001545	1.14587	1.6731
56	-0.001544	1.13676	1.6731
57	-0.001543	1.13069	1.6731
58	-0.001542	1.12614	1.6731
59	-0.001541	1.12614	1.6731
60	-0.00154	1.11703	1.6731
61	-0.001539	1.11096	1.6731
62	-0.001538	1.10792	1.6731
63	-0.001537	1.10337	1.6731
64	-0.001536	1.09729	1.67461
65	-0.001535	1.09274	1.67158
66	-0.001534	1.08667	1.67158
67	-0.001533	1.08363	1.6731
68	-0.001532	1.07756	1.67461
69	-0.001531	1.07452	1.67158
70	-0.00153	1.06693	1.67158
71	-0.001529	1.06086	1.67461
72	-0.001528	1.05631	1.67461
73	-0.001527	1.05479	1.67461
74	-0.001526	1.04568	1.67461
75	-0.001525	1.04264	1.67461
76	-0.001524	1.03809	1.67461
77	-0.001523	1.03505	1.67461
78	-0.001522	1.02746	1.67461
79	-0.001521	1.02291	1.67461
80	-0.00152	1.01987	1.6731
81	-0.001519	1.0138	1.67613
82	-0.001518	1.00773	1.6731
83	-0.001517	1.00469	1.67461
84	-0.001516	0.997102	1.67461
85	-0.001515	0.994066	1.6731
86	-0.001514	0.987994	1.67613
87	-0.001513	0.984958	1.67461
88	-0.001512	0.977368	1.6731
89	-0.001511	0.971295	1.67613
90	-0.00151	0.969777	1.6731
91	-0.001509	0.965223	1.67461
92	-0.001508	0.959151	1.67461
93	-0.001507	0.951561	1.67461
94	-0.001506	0.950043	1.67461
95	-0.001505	0.943971	1.67461
