Sample	Time(S)	CH1(V)	CH2(V)
0	-0.0016	1.42064	1.44554
1	-0.001599	1.41305	1.43643
2	-0.001598	1.40697	1.4334
3	-0.001597	1.40394	1.42884
4	-0.001596	1.39938	1.42429
5	-0.001595	1.39028	1.4167
6	-0.001594	1.38724	1.41063
7	-0.001593	1.3842	1.40759
8	-0.001592	1.37813	1.40304
9	-0.001591	1.37206	1.39545
10	-0.00159	1.36902	1.39241
11	-0.001589	1.36295	1.38482
12	-0.001588	1.35536	1.38178
13	-0.001587	1.35384	1.37571
14	-0.001586	1.34777	1.37116
15	-0.001585	1.34322	1.3666
16	-0.001584	1.33866	1.36205
17	-0.001583	1.33411	1.35749
18	-0.001582	1.32804	1.35142
19	-0.001581	1.32348	1.34839
20	-0.00158	1.32045	1.34383
21	-0.001579	1.31437	1.33776
22	-0.001578	1.3083	1.33169
23	-0.001577	1.30223	1.32865
24	-0.001576	1.29919	1.32106
25	-0.001575	1.29312	1.31803
26	-0.001574	1.28857	1.31499
27	-0.001573	1.28249	1.30588
28	-0.001572	1.27946	1.30436
29	-0.001571	1.27187	1.29829
30	-0.00157	1.26731	1.29374
31	-0.001569	1.26428	1.28766
32	-0.001568	1.26124	1.28311
33	-0.001567	1.25213	1.27856
34	-0.001566	1.25062	1.27248
35	-0.001565	1.24454	1.26945
36	-0.001564	1.23847	1.26338
37	-0.001563	1.2324	1.2573
38	-0.001562	1.23088	1.25427
39	-0.001561	1.22481	1.24971
40	-0.00156	1.21722	1.24668
41	-0.001559	1.21722	1.23757
42	-0.001558	1.20811	1.23453
43	-0.001557	1.20507	1.22998
44	-0.001556	1.199	1.22239
45	-0.001555	1.19597	1.21935
46	-0.001554	1.18989	1.2148
47	-0.001553	1.1823	1.20873
48	-0.001552	1.18079	1.20417
49	-0.001551	1.17471	1.19962
50	-0.00155	1.16864	1.19355
51	-0.001549	1.16105	1.18747
52	-0.001548	1.15953	1.18444
53	-0.001547	1.15194	1.17837
54	-0.001546	1.14891	1.17381
55	-0.001545	1.14587	1.17078
56	-0.001544	1.14283	1.1647
57	-0.001543	1.13221	1.15863
58	-0.001542	1.12765	1.15408
59	-0.001541	1.12614	1.15104
60	-0.00154	1.12006	1.14345
61	-0.001539	1.11247	1.14193
62	-0.001538	1.10944	1.13434
63	-0.001537	1.10488	1.13131
64	-0.001536	1.09729	1.12523
65	-0.001535	1.09274	1.11916
66	-0.001534	1.0897	1.11764
67	-0.001533	1.08363	1.11005
68	-0.001532	1.07756	1.10398
69	-0.001531	1.07452	1.10095
70	-0.00153	1.06693	1.09639
71	-0.001529	1.0639	1.09032
72	-0.001528	1.05782	1.08425
73	-0.001527	1.05631	1.08121
74	-0.001526	1.05023	1.07817
75	-0.001525	1.04264	1.0721
76	-0.001524	1.03961	1.06451
