Sample	Time(S)	CH1(V)	CH2(V)
0	-0.0016	1.42064	0.405681
1	-0.001599	1.41305	0.402645
2	-0.001598	1.40546	0.398091
3	-0.001597	1.40546	0.395055
4	-0.001596	1.39938	0.390501
5	-0.001595	1.39179	0.385946
6	-0.001594	1.38876	0.38291
7	-0.001593	1.38269	0.378356
8	-0.001592	1.37965	0.37532
9	-0.001591	1.37054	0.370766
10	-0.00159	1.37054	0.370766
11	-0.001589	1.36295	0.361658
12	-0.001588	1.35688	0.36014
13	-0.001587	1.35384	0.357104
14	-0.001586	1.35081	0.351031
15	-0.001585	1.3417	0.347995
16	-0.001584	1.33866	0.343441
17	-0.001583	1.33563	0.340405
18	-0.001582	1.32804	0.337369
19	-0.001581	1.32348	0.331297
20	-0.00158	1.31893	0.329779
21	-0.001579	1.31286	0.326743
22	-0.001578	1.30982	0.319152
23	-0.001577	1.30223	0.316116
24	-0.001576	1.29919	0.31308
25	-0.001575	1.29312	0.310044
26	-0.001574	1.28705	0.30549
27	-0.001573	1.27946	0.302454
28	-0.001572	1.27946	0.2979
29	-0.001571	1.27187	0.294864
30	-0.00157	1.26883	0.288792
31	-0.001569	1.26428	0.288792
32	-0.001568	1.26124	0.284237
33	-0.001567	1.25213	0.281201
34	-0.001566	1.25062	0.276647
35	-0.001565	1.24454	0.272093
36	-0.001564	1.23847	0.269057
37	-0.001563	1.2324	0.266021
38	-0.001562	1.22936	0.261467
39	-0.001561	1.22481	0.258431
40	-0.00156	1.21874	0.252358
41	-0.001559	1.2157	0.25084
42	-0.001558	1.20811	0.246286
43	-0.001557	1.20356	0.24325
44	-0.001556	1.19748	0.240214
45	-0.001555	1.19597	0.237178
46	-0.001554	1.18989	0.232624
47	-0.001553	1.1823	0.226552
48	-0.001552	1.17775	0.225034
49	-0.001551	1.17471	0.22048
50	-0.00155	1.17016	0.217443
51	-0.001549	1.16257	0.212889
52	-0.001548	1.15953	0.211371
53	-0.001547	1.15346	0.208335
54	-0.001546	1.14739	0.202263
55	-0.001545	1.14739	0.200745
56	-0.001544	1.1398	0.199227
57	-0.001543	1.13373	0.193155
58	-0.001542	1.12765	0.188601
59	-0.001541	1.12614	0.185565
60	-0.00154	1.12006	0.182528
61	-0.001539	1.11247	0.179492
62	-0.001538	1.10792	0.176456
63	-0.001537	1.10488	0.17342
64	-0.001536	1.09729	0.168866
65	-0.001535	1.09274	0.16583
66	-0.001534	1.0897	0.162794
67	-0.001533	1.08515	0.159758
68	-0.001532	1.07756	0.156722
69	-0.001531	1.07604	0.153686
70	-0.00153	1.06845	0.15065
71	-0.001529	1.0639	0.146095
72	-0.001528	1.05782	0.144577
73	-0.001527	1.05631	0.141541
74	-0.001526	1.0472	0.140023
75	-0.001525	1.04416	0.133951
76	-0.001524	1.03961	0.135469
77	-0.001523	1.03354	0.130915
78	-0.001522	1.0305	0.127879
79	-0.001521	1.02746	0.124843
80	-0.00152	1.02139	0.121807
81	-0.001519	1.0138	0.118771
82	-0.001518	1.00773	0.115735
83	-0.001517	1.00469	0.115735
84	-0.001516	1.00014	0.112698
85	-0.001515	0.994066	0.109662
86	-0.001514	0.987994	0.108144
87	-0.001513	0.986476	0.105108
88	-0.001512	0.977368	0.100554
89	-0.001511	0.974331	0.100554
90	-0.00151	0.971295	0.097518
91	-0.001509	0.965223	0.0944819
92	-0.001508	0.959151	0.0929639
