;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,200
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,-20.8737,4.5664
1,1047.37,-20.8844,4.73993
2,1096.99,-20.8823,4.8962
3,1148.95,-20.8796,5.10024
4,1203.38,-20.8761,5.37865
5,1260.38,-20.8692,5.59937
6,1320.09,-20.8622,5.92911
7,1382.62,-20.8565,6.17188
8,1448.12,-20.8484,6.42958
9,1516.72,-20.8428,6.73544
10,1588.57,-20.8347,7.04802
11,1663.82,-20.8287,7.36346
12,1742.63,-20.8206,7.68355
13,1825.18,-20.8116,8.06689
14,1911.64,-20.7982,8.42402
15,2002.2,-20.7879,8.76161
16,2097.05,-20.7733,9.1723
17,2196.39,-20.7609,9.58811
18,2300.43,-20.7485,10.0023
19,2409.4,-20.7329,10.5236
20,2523.54,-20.7176,11.0359
21,2643.08,-20.7047,11.472
22,2768.29,-20.6807,11.951
23,2899.42,-20.6626,12.5698
24,3036.77,-20.6436,13.1975
25,3180.63,-20.6258,13.6803
26,3331.29,-20.5942,14.2014
27,3489.1,-20.5599,14.9385
28,3654.38,-20.5091,15.4906
29,3827.49,-20.464,16.1676
30,4008.81,-20.423,16.9051
31,4198.71,-20.3704,17.5836
32,4397.6,-20.3121,18.3811
33,4605.92,-20.2698,19.0232
34,4824.11,-20.2153,19.7746
35,5052.63,-20.1521,20.7432
36,5291.98,-20.0917,21.4524
37,5542.66,-20.0044,22.4115
38,5805.23,-19.9338,23.3029
39,6080.22,-19.8662,24.4302
40,6368.25,-19.7656,25.1449
41,6669.92,-19.6745,25.7538
42,6985.88,-19.5673,27.1341
43,7316.81,-19.4542,27.7558
44,7663.41,-19.3267,28.9207
45,8026.43,-19.2038,30.0607
46,8406.65,-19.0524,30.656
47,8804.88,-18.9367,32.2141
48,9221.98,-18.7885,33.3854
49,9658.83,-18.6315,34.2727
50,10116.4,-18.4657,35.1267
51,10595.6,-18.2865,36.1275
52,11097.5,-18.0993,37.2237
53,11623.2,-17.914,38.2048
54,12173.8,-17.7177,39.1068
55,12750.5,-17.5121,40.1691
56,13354.5,-17.2999,41.0859
57,13987.1,-17.0723,42.0154
58,14649.7,-16.8348,42.9133
59,15343.7,-16.5934,43.7983
60,16070.5,-16.3512,44.6865
61,16831.8,-16.1021,45.4403
62,17629.1,-15.8422,46.2268
63,18464.2,-15.5698,46.9126
64,19338.9,-15.2993,47.5476
65,20255,-15.0141,48.3515
66,21214.5,-14.7265,48.8392
67,22219.5,-14.4368,49.3659
68,23272,-14.1395,49.9272
69,24374.4,-13.8431,50.4492
70,25529.1,-13.5342,50.7168
71,26738.4,-13.2326,51.0518
72,28005,-12.9383,51.5374
73,29331.7,-12.6156,51.3427
74,30721.1,-12.3063,51.849
75,32176.4,-11.9996,51.9563
76,33700.6,-11.6792,51.9939
77,35297.1,-11.352,51.7244
78,36969.1,-11.0506,51.6229
79,38720.4,-10.7343,51.5484
80,40554.6,-10.419,51.6878
81,42475.7,-10.1116,51.0617
82,44487.8,-9.80445,50.9162
83,46595.3,-9.4865,50.4135
84,48802.5,-9.20155,49.8589
85,51114.3,-8.90393,49.6124
86,53535.7,-8.60409,48.9139
87,56071.7,-8.31976,48.8526
88,58727.9,-8.03552,48.0726
89,61509.9,-7.7659,47.7077
90,64423.6,-7.49146,46.6449
91,67475.4,-7.21888,46.0708
92,70671.8,-6.97431,45.4715
93,74019.6,-6.71735,44.3977
94,77526,-6.49827,42.9739
95,81198.4,-6.2381,42.5117
96,85044.9,-5.99749,41.4932
97,89073.5,-5.77085,40.6246
98,93293,-5.57641,39.6945
99,97712.4,-5.37928,38.8154
100,102341,-5.17345,37.8653
101,107189,-4.98381,36.8045
102,112267,-4.80655,35.8023
103,117585,-4.63881,34.7934
104,123155,-4.47596,33.7234
105,128989,-4.32069,32.656
106,135099,-4.17778,31.6452
107,141499,-4.03877,30.5979
108,148202,-3.91115,29.5538
109,155223,-3.79188,28.6316
110,162576,-3.6824,27.5912
111,170277,-3.57278,26.652
112,178343,-3.4748,25.6674
113,186791,-3.38114,24.7822
114,195640,-3.291,23.7864
115,204907,-3.21192,22.9443
116,214614,-3.13494,22.0649
117,224781,-3.06852,21.255
118,235429,-3.00024,20.3765
119,246581,-2.94464,19.5998
120,258262,-2.88801,18.7263
121,270496,-2.83606,17.9878
122,283310,-2.79178,17.2001
123,296730,-2.75071,16.5571
124,310787,-2.70502,15.876
125,325509,-2.67008,15.1986
126,340929,-2.63358,14.5601
127,357079,-2.60459,13.939
128,373994,-2.576,13.2892
129,391710,-2.54921,12.8592
130,410266,-2.52766,12.225
131,429700,-2.50799,11.7848
132,450056,-2.48803,11.2158
133,471375,-2.46811,10.728
134,493705,-2.45079,10.2821
135,517092,-2.43425,9.93649
136,541587,-2.41285,9.41448
137,567243,-2.39949,9.03183
138,594113,-2.38367,8.69426
139,622257,-2.37218,8.34551
140,651734,-2.35934,7.93044
141,682607,-2.34841,7.48434
142,714943,-2.33798,7.11851
143,748810,-2.33038,6.88436
144,784282,-2.32773,6.51842
145,821434,-2.31678,6.31206
146,860346,-2.31127,6.02088
147,901102,-2.30557,5.74111
148,943788,-2.30449,5.44672
149,988496,-2.29576,5.24463
150,1.03532e+06,-2.28901,4.98985
151,1.08437e+06,-2.28457,4.76058
152,1.13573e+06,-2.28167,4.54789
153,1.18953e+06,-2.27566,4.32424
154,1.24588e+06,-2.27309,4.13294
155,1.3049e+06,-2.26937,3.92419
156,1.36672e+06,-2.26526,3.76462
157,1.43146e+06,-2.26371,3.55307
158,1.49927e+06,-2.25949,3.39969
159,1.57029e+06,-2.25765,3.22816
160,1.64468e+06,-2.25442,3.05282
161,1.72259e+06,-2.25202,2.91664
162,1.80419e+06,-2.25106,2.76523
163,1.88965e+06,-2.24853,2.62355
164,1.97917e+06,-2.24814,2.50922
165,2.07292e+06,-2.246,2.34307
166,2.17112e+06,-2.24666,2.2432
167,2.27397e+06,-2.24523,2.10471
168,2.38169e+06,-2.24514,1.98535
169,2.49451e+06,-2.24453,1.89437
170,2.61268e+06,-2.24399,1.7654
171,2.73644e+06,-2.24339,1.69318
172,2.86607e+06,-2.24442,1.58066
173,3.00184e+06,-2.24245,1.49656
174,3.14404e+06,-2.24269,1.40831
175,3.29297e+06,-2.24134,1.32537
176,3.44896e+06,-2.2416,1.27555
177,3.61234e+06,-2.24081,1.15083
178,3.78346e+06,-2.23984,1.10372
179,3.96269e+06,-2.23903,1.05204
180,4.1504e+06,-2.23799,0.979378
181,4.34701e+06,-2.23652,0.889118
182,4.55294e+06,-2.23404,0.867621
183,4.76861e+06,-2.23069,0.779055
184,4.99451e+06,-2.2278,0.736551
185,5.2311e+06,-2.22483,0.682118
186,5.4789e+06,-2.22281,0.636243
187,5.73844e+06,-2.21956,0.589615
188,6.01028e+06,-2.2135,0.550287
189,6.29499e+06,-2.2103,0.489042
190,6.59319e+06,-2.20549,0.407678
191,6.90551e+06,-2.20041,0.393579
192,7.23263e+06,-2.19348,0.338978
193,7.57525e+06,-2.18715,0.311314
194,7.9341e+06,-2.17821,0.264125
195,8.30994e+06,-2.16938,0.211047
196,8.70359e+06,-2.16065,0.154402
197,9.11589e+06,-2.15193,0.140367
198,9.54772e+06,-2.14229,0.080587
199,1e+07,-2.13152,0.0405668
