;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.016,1.38196,-0.00469681
1,-0.01599,1.43207,-0.00469681
2,-0.01598,1.39867,-0.00469681
3,-0.01597,1.44878,-0.00469681
4,-0.01596,1.43207,-0.00469681
5,-0.01595,1.43207,-0.00469681
6,-0.01594,1.46548,-0.00469681
7,-0.01593,1.44878,-0.00469681
8,-0.01592,1.44878,-0.00469681
9,-0.01591,1.48218,-0.00469681
10,-0.0159,1.46548,-0.00469681
11,-0.01589,1.48218,-0.00469681
12,-0.01588,1.48218,-0.00628386
13,-0.01587,1.48218,-0.00310976
14,-0.01586,1.49889,-0.00469681
15,-0.01585,1.49889,-0.00628386
16,-0.01584,1.51559,-0.00628386
17,-0.01583,1.51559,-0.00469681
18,-0.01582,1.549,-0.00469681
19,-0.01581,1.5323,-0.00469681
20,-0.0158,1.549,-0.00469681
21,-0.01579,1.549,-0.00469681
22,-0.01578,1.5657,-0.00469681
23,-0.01577,1.5657,-0.00469681
24,-0.01576,1.5657,-0.00469681
25,-0.01575,1.58241,-0.00469681
26,-0.01574,1.58241,-0.00469681
27,-0.01573,1.58241,-0.00469681
28,-0.01572,1.61581,-0.00469681
29,-0.01571,1.61581,-0.00310976
30,-0.0157,1.61581,-0.00628386
31,-0.01569,1.61581,-0.00469681
32,-0.01568,1.63252,-0.00628386
33,-0.01567,1.63252,-0.00628386
34,-0.01566,1.63252,-0.00628386
35,-0.01565,1.64922,-0.00469681
36,-0.01564,1.64922,-0.00628386
37,-0.01563,1.64922,-0.00469681
38,-0.01562,1.68263,-0.00469681
39,-0.01561,1.66593,-0.00469681
40,-0.0156,1.66593,-0.00469681
41,-0.01559,1.71604,-0.00628386
42,-0.01558,1.71604,-0.00628386
43,-0.01557,1.71604,-0.00628386
44,-0.01556,1.71604,-0.00628386
45,-0.01555,1.71604,-0.00628386
46,-0.01554,1.74944,-0.00628386
47,-0.01553,1.74944,-0.00628386
48,-0.01552,1.74944,-0.00628386
49,-0.01551,1.74944,-0.00628386
