;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.016,1.38196,-0.00310976
1,-0.01599,1.43207,-0.00310976
2,-0.01598,1.39867,-0.00310976
3,-0.01597,1.39867,6.43283e-05
4,-0.01596,1.44878,-0.00152272
5,-0.01595,1.43207,-0.00152272
6,-0.01594,1.43207,0.00165137
7,-0.01593,1.46548,6.43283e-05
8,-0.01592,1.44878,0.00165137
9,-0.01591,1.44878,0.00165137
10,-0.0159,1.48218,0.00482547
11,-0.01589,1.46548,0.00482547
12,-0.01588,1.46548,0.00482547
13,-0.01587,1.48218,0.00799956
14,-0.01586,1.46548,0.00799956
15,-0.01585,1.48218,0.00958661
16,-0.01584,1.48218,0.0111737
17,-0.01583,1.48218,0.0127607
18,-0.01582,1.49889,0.0143477
19,-0.01581,1.49889,0.0175218
20,-0.0158,1.49889,0.0206959
21,-0.01579,1.5323,0.022283
22,-0.01578,1.51559,0.022283
23,-0.01577,1.51559,0.0254571
24,-0.01576,1.51559,0.0286312
25,-0.01575,1.549,0.0286312
26,-0.01574,1.5323,0.0318053
27,-0.01573,1.5323,0.0349793
28,-0.01572,1.5323,0.0381534
29,-0.01571,1.5323,0.0397405
30,-0.0157,1.5323,0.0445016
31,-0.01569,1.5657,0.0460887
32,-0.01568,1.549,0.0492628
33,-0.01567,1.549,0.0524369
34,-0.01566,1.549,0.055611
35,-0.01565,1.549,0.057198
36,-0.01564,1.549,0.0603721
37,-0.01563,1.5657,0.0635462
38,-0.01562,1.5657,0.0683073
39,-0.01561,1.5657,0.0714814
40,-0.0156,1.5657,0.0730685
41,-0.01559,1.5657,0.0762426
42,-0.01558,1.5657,0.0794166
43,-0.01557,1.5657,0.0825907
44,-0.01556,1.5657,0.0857648
45,-0.01555,1.5657,0.0873519
46,-0.01554,1.5657,0.090526
47,-0.01553,1.5657,0.0952871
48,-0.01552,1.58241,0.0984612
49,-0.01551,1.58241,0.101635
50,-0.0155,1.58241,0.104809
51,-0.01549,1.58241,0.107983
52,-0.01548,1.58241,0.112745
53,-0.01547,1.58241,0.115919
54,-0.01546,1.58241,0.117506
55,-0.01545,1.59911,0.123854
56,-0.01544,1.59911,0.127028
