;Scopy version,f4beeb1
;Exported on,Thursday September 19/09/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.016,1.38196,-0.00469681
1,-0.01599,1.43207,-0.00469681
2,-0.01598,1.39867,-0.00469681
3,-0.01597,1.43207,-0.00469681
4,-0.01596,1.43207,-0.00469681
5,-0.01595,1.43207,-0.00469681
6,-0.01594,1.46548,-0.00469681
7,-0.01593,1.44878,-0.00469681
8,-0.01592,1.46548,-0.00469681
9,-0.01591,1.46548,-0.00469681
10,-0.0159,1.46548,-0.00469681
11,-0.01589,1.49889,-0.00469681
12,-0.01588,1.48218,-0.00469681
13,-0.01587,1.48218,-0.00469681
14,-0.01586,1.49889,-0.00469681
15,-0.01585,1.51559,-0.00469681
16,-0.01584,1.49889,-0.00310976
17,-0.01583,1.5323,-0.00310976
18,-0.01582,1.51559,-0.00310976
19,-0.01581,1.549,-0.00310976
20,-0.0158,1.549,-0.00310976
21,-0.01579,1.549,-0.00152272
22,-0.01578,1.549,-0.00152272
23,-0.01577,1.549,-0.00152272
24,-0.01576,1.58241,0.00165137
25,-0.01575,1.5657,6.43283e-05
26,-0.01574,1.58241,0.00323842
27,-0.01573,1.58241,0.00165137
28,-0.01572,1.58241,0.00482547
29,-0.01571,1.58241,0.00482547
30,-0.0157,1.59911,0.00641251
31,-0.01569,1.59911,0.00641251
32,-0.01568,1.59911,0.00799956
33,-0.01567,1.59911,0.00958661
34,-0.01566,1.59911,0.0111737
35,-0.01565,1.63252,0.0127607
36,-0.01564,1.61581,0.0175218
37,-0.01563,1.61581,0.0191089
38,-0.01562,1.63252,0.0191089
39,-0.01561,1.63252,0.022283
40,-0.0156,1.63252,0.0254571
41,-0.01559,1.63252,0.0270441
42,-0.01558,1.64922,0.0286312
43,-0.01557,1.64922,0.0318053
44,-0.01556,1.64922,0.0333923
45,-0.01555,1.64922,0.0365664
46,-0.01554,1.64922,0.0381534
47,-0.01553,1.64922,0.0429146
48,-0.01552,1.64922,0.0445016
49,-0.01551,1.64922,0.0460887
50,-0.0155,1.66593,0.0492628
51,-0.01549,1.66593,0.0524369
